house,count
House Frey,89
Night's Watch,88
House Stark,56
House Targaryen,40
House Lannister,36
House Tyrell,33
House Greyjoy,30
House Osgrey,20
Faith of the Seven,15
House Hightower,12
House Botley,12
House Arryn,11
House Martell,11
House Crakehall,10
House Florent,10
House Bracken,9
House Waynwood,9
House Wylde,8
House Westerling,8
House Brax,8
House Tully,8
House Velaryon,8
Stone Crows,8
House Paege,7
House Plumm,7
House Whent,7
House Swyft,7
House Seaworth,7
House Beesbury,6
House Baelish,6
House Redwyne,6
House Bolton,6
House Haigh,6
House Baratheon of Dragonstone,6
House Estermont,6
House Drumm,6
House Swann,6
House of Loraq,6
House Baratheon,6
House Tallhart,6
House Redfort,5
House Karstark,5
Alchemists' Guild,5
House Caswell,5
Second Sons,5
House Norcross,5
House Hollard,5
House Ashford,5
Kingsguard,5
House Mallister,5
House Umber,5
House Vance of Atranta,5
House Darry,5
House Royce,5
House Webber,5
House Harlaw,4
House Hunter,4
House Crane,4
House Mormont,4
House Goodbrook,4
House Glover,4
House Lothston,4
House Qorgyle,4
House Ambrose,4
House Vance,4
House Corbray,4
Brotherhood without banners,4
House Hornwood,4
House Manwoody,4
House Clegane,4
House Lefford,4
House Ironmaker,4
House Fossoway of Cider Hall,4
Happy Port,4
House Royce of the Gates of the Moon,4
House Vance of Wayfarer's Rest,4
House Ryswell,4
House Dayne,4
House Darklyn,4
Brotherhood Without Banners,4
House Crabb,4
House Tarth,4
House Frey of Riverrun,3
Chataya's brothel,3
House Stout,3
House Connington,3
House of Galare,3
House Mooton,3
House Goodbrother,3
House Grafton,3
House Stokeworth,3
House Locke,3
House Hardyng,3
House Marbrand,3
Drowned men,3
House Vypren,3
House Penrose,3
House Caron,3
House Strong,3
House Costayne,3
House Blackwood,3
House Blackmont,3
House Farring,3
House Stackspear,3
House Uller,3
House Farwynd of the Lonely Light,3
House Butterwell,3
House Staunton,3
Brave Companions,3
House Oakheart,3
House Smallwood,3
House Bulwer,3
House Sharp,3
Kingdom of the Three Daughters,2
House Lynderly,2
House Nayland,2
House Dalt,2
House Piper,2
House Penny,2
House Serry,2
House Ryger,2
House Rosby,2
House Cassel,2
House Meadows,2
House Cerwyn,2
Stormcrows,2
House Flint of Widow's Watch,2
Burned Men,2
House Wythers,2
House Santagar,2
House Yronwood,2
House Inchfield,2
House Baratheon of King's Landing,2
House Kenning of Harlaw,2
House Shepherd,2
Kingswood Brotherhood,2
House Wynch,2
House Heddle,2
House Lydden,2
House Jordayne,2
House Sunglass,2
House Belmore,2
House Manderly,2
House Charlton,2
House Spicer,2
House Tollett,2
House Fell,2
House Hetherspoon,2
House Prester,2
House Tarly,2
House Slynt,2
Moon Brothers,2
House Codd,2
House Willum,2
House Peake,2
House Morrigen,2
House Wells,2
House Lonmouth,2
House Blackberry,2
House Clifton,2
House Kenning of Kayce,2
House Humble,2
House Reed,2
House Uffering,2
House Allyrion,2
House Fossoway,1
House Blackbar,1
House of Merreq,1
House Wode,1
House Sarsfield,1
House Woolfield,1
House Turnberry,1
House Selmy,1
House Vikary,1
House Vyrwel,1
House Wagstaff,1
House Mallery,1
House Merlyn,1
House Myre,1
House Volmark,1
House Chyttering,1
House Bettley,1
House Chester,1
House of Pahl,1
House Lychester,1
House Thorne,1
Iron Bank of Braavos,1
House Blount,1
House Liddle,1
House Gargalen,1
House Mudd,1
House Farwynd,1
House Sunderland,1
House Wayn,1
House Poole,1
Maesters,1
House Blanetree,1
Golden Company,1
House Goodbrother of Shatterstone,1
Company of the Cat,1
House Suggs,1
Khal,1
House Nymeros Martell,1
House Drinkwater,1
House Harlaw of Grey Garden,1
Summer Islands,1
House Condon,1
House Lannister of Casterly Rock,1
House Toyne,1
House Templeton,1
House Harlaw of Harlaw Hall,1
House Farman,1
House Toland,1
House Kettleblack,1
House Norrey,1
House Foote,1
House Chelsted,1
House Banefort,1
House Ball,1
House Cox,1
House Ruttiger,1
House Estren,1
House Rykker,1
House Longwaters,1
House Harlaw of the Tower of Glimmering,1
House Moreland,1
House Flint,1
House Hogg,1
House Longthorpe,1
House Coldwater,1
House Leek,1
House Wull,1
House Brune of Brownhollow,1
House Rambton,1
House Harclay,1
House Weaver,1
House Risley,1
Pureborn,1
R'hllor,1
House Gaunt,1
House Reyne,1
House Grandison,1
House Sawyer,1
House Bolling,1
House Farrow,1
House Rowan,1
House Fossoway of New Barrel,1
House Cupps,1
wildling,1
House Tawney,1
Windblown,1
House Lorch,1
House Deddings,1
House Lannister of Lannisport,1
House Hoare,1
House Greenhill,1
Sea watch,1
Peach,1
Faceless Men,1
House Varner,1
Band of Nine,1
House Hunt,1
House Sparr,1
House Leygood,1
House Stonetree,1
House Bushy,1
House Blacktyde,1
Antler Men,1
House Cafferen,1
House Payne,1
House Buckler,1
Black Ears,1
House Conklyn,1
House Blackfyre,1
House Roote,1
House Hardy,1
Queensguard,1
House Shett of Gull Tower,1
House Bar Emmon,1
House Norridge,1
House Hayford,1
House Brune of the Dyre Den,1
House Fowler,1
House Greenfield,1
House Gower,1
Blacks,1
House Hewett,1
House Borrell,1
Citadel,1
Wise Masters,1
Good Masters,1
House Grimm,1
The Citadel,1
House Mollen,1
House Vaith,1
House Cuy,1
House Harlaw of Harridan Hill,1
House Staedmon,1
House Dondarrion,1
House Yew,1
House Mullendore,1
House Mertyns,1
House Boggs,1
House Woods,1
House Pemford,1
City Watch of King's Landing,1
House Broom,1
House Cockshaw,1
House Graceford,1
House Jast,1
House Celtigar,1
House of Ghazeen,1
House Byrch,1
House Hawick,1
House Moore,1
