title,count
Ser,306
Maester,29
Archmaester,21
Lord,19
Septon,16
Winterfell,15
Lady,10
King in the North,9
Septa,9
Princess,9
Lord Commander of the Night's Watch,8
Cupbearer,8
Prince,7
Grand Maester,6
Wisdom,5
Khal,5
King-Beyond-the-Wall,4
Prince of Dragonstone,4
Last Hearth,3
Duskendale,3
Lord Paramount of the Mander,3
Eyrie,3
Casterly Rock,3
Bloodrider,3
Lord of the Tides,3
Bitterbridge,3
Harrenhal,3
Queen,3
Brother,3
Starpike,3
Master of Coin,2
Crag,2
Stonehelm,2
Goodwife,2
Khalakka,2
Karhold,2
Cerwyn,2
Coldmoat,2
Ashford,2
Captain of the guard,2
Blackcrown,2
Golden Tooth,2
Good Master,2
Hornwood,2
Lord Reaper of Pyke,2
Castellan,2
Riverrun,2
Steward,2
Hand of the King,2
Yronwood,2
Knight,2
Prince of Dorne,2
Stokeworth,2
KhalKo (formerly),2
PrincessQueen,2
King,2
Rills,1
Undergaoler,1
Cobblecat,1
Longsister,1
Knight of Griffin's Roost,1
Coldwater Burn,1
Lordsport,1
Lord of the Crossing,1
First Sword of Braavos,1
Lord of Flint's Finger,1
Lord of Southshield,1
Greenshield,1
Mistress of whisperers,1
Shatterstone,1
Lord of Atranta,1
Ghost Hill,1
Lord of Oldcastle,1
Magister of Pentos,1
Master of Harlaw Hall,1
Chief Undergaoler,1
Banefort,1
Hightower,1
Sandstone,1
Serthe Knight of Saltpans,1
CastellanCommander,1
Wyndhall,1
Runestone,1
Fair Isle,1
Dragonstone,1
Rook's Rest,1
Eastwatch-by-the-Sea,1
Lady of Darry,1
master of ships,1
Commander of the Second Sons,1
Prince of Winterfell,1
Nightsong,1
Light of the West,1
King of Astapor,1
Foamdrinker,1
Crakehall,1
Lord of Kingsgrave,1
Lord of Starfall,1
Master of Deepwood Motte,1
Lord of Hellholt,1
Red Flower Vale,1
Lord of Harrenhal,1
Rain House,1
Protector of the Realm,1
Maidenpool,1
Lord of Honeyholt,1
Lord of Iron Holt,1
King of the Iron Islands,1
Deepwood Motte,1
Captain,1
Kayce,1
Acorn Hall,1
Lord of the Ten TowersLord Harlaw of HarlawHarlaw of Harlaw,1
Ten Towers,1
Three Towers,1
The LiddleLord Liddle,1
Lord of the Tor,1
Salt Shore,1
Sealskin Point,1
Three Sisters,1
Grey Glen,1
Lord of Pebbleton,1
Tradesman-Captain,1
High Steward of Highgarden,1
Lord Paramount of the Trident,1
Claw Isle,1
LadyQueen,1
Broad Arch,1
Brightwater,1
Lady Marya,1
Whitewalls,1
Hornvale,1
Ironoaks,1
BrotherProctor,1
Strongsong,1
Goldengrove,1
Harridan Hill,1
Lord of Sunflower Hall,1
Lord of the Marches,1
Pinkmaiden,1
Wind Witch,1
Uplands,1
Godsgrace,1
Seneschal,1
Greenstone,1
red hand,1
Seven Kingdoms,1
Lord of the Iron Islands,1
Lord of Coldmoat,1
PrincessSepta,1
LadyQueenDowager Queen,1
Seagard,1
Lord of Dragonstone,1
Goodman,1
Lord Steward of the Iron Islands,1
Blue Grace,1
Red Priest,1
QueenBlack Bride,1
Lord of the Red Dunes,1
Sharp Point,1
Volmark,1
Lord of the Deep Den,1
First Ranger,1
Lord of the Snakewood,1
Karl's Hold,1
Blackmont,1
Master-at-Arms,1
Lord of Crows Nest,1
Widow's Watch,1
Big BucketThe Wull,1
Master of coin,1
Lord of Darry,1
Castle Lychester,1
Wraith,1
Heart's Home,1
Oarmaster,1
King of the Andals,1
Tower of Glimmering,1
Lady of Torrhen's Square,1
Feastfires,1
Grassy Vale,1
Longbow Hall,1
Hayford,1
Dyre Den,1
Sealord,1
Skyreach,1
Lord Seneschal,1
Redfort,1
Gulltown,1
Sweetsister,1
Sweetport Sound,1
Lord of Greyshield,1
Felwood,1
Goldgrass,1
Highgarden,1
